iteration,b0,b1,b2,b3,q,h,loglik,predicted,var,actual
0,-0.20674469048673738,0.31362768466493357,0.09452024744821753,-0.21647164493450244,0.484966885036964,0.478414407454846,-32564.23331215883,-0.11742817725233037,0.2885871198929688,-0.15909956806534478
1,-0.12212150496148123,0.3304320747350328,0.1482763738482734,-0.09416000683841645,0.4888812152330356,0.478414407454846,-32563.401413648196,-0.07059337268320184,0.288891944904199,-0.11828850313354713
2,-0.07827791299546828,0.3470955894972796,0.19358806303252135,0.009499743132838828,0.49299191328795455,0.478414407454846,-32563.221830392933,-0.06568125989836451,0.28971361898678466,0.3136777727276629
3,-0.07520008243442727,0.357701091554343,0.1993389741937484,0.03400399758835476,0.4931852172302499,0.478414407454846,-32562.33354864226,0.10556654253973403,0.2889055619434959,0.40353050062797424
4,-0.09626588225714289,0.3517292295686447,0.18824521422401042,-0.013619607308452714,0.4902414894286995,0.478414407454846,-32560.948288328706,0.17266189010623423,0.28710205178568676,0.6625298054127523
5,-0.09554637163727864,0.35669093378648664,0.19214634385248272,-0.0023025194651716627,0.4911461456008639,0.478414407454846,-32561.19025619925,0.3416173167404841,0.28752178968490594,1.081406896474945
6,-0.0943198719864535,0.36230644106687837,0.19641884543179716,-5.372838050176107e-06,0.49253104580397217,0.478414407454846,-32561.992297470697,0.5971430401369029,0.28849030318903207,0.885151761856846
7,-0.08465929846829495,0.3672637723362102,0.20544783424285135,0.013567665616706113,0.4934271171750282,0.478414407454846,-32562.015548856398,0.6029699836973834,0.28871146568999223,0.14898347220294395
8,-0.07761689549290987,0.36556734560811266,0.19779810481062987,0.012822538895533375,0.49331382125556944,0.478414407454846,-32562.340291806668,0.305796818404686,0.28892815312119424,-0.25333290603719244
9,-0.07843857279159833,0.36857693237056877,0.17992512144402872,0.003433191799552097,0.4914857249575735,0.478414407454846,-32561.257308757697,0.08002861795334472,0.287579006709468,0.1645158400440832
10,-0.09737438611273957,0.3630682199735148,0.17410419722658743,-0.021527526132136307,0.48995604741706233,0.478414407454846,-32560.686130825547,0.20120958606485614,0.28676847285076706,-0.36052287774936637
11,-0.10943360205705921,0.35894001177328905,0.1614774251570566,-0.045511718140476665,0.4894316087011379,0.478414407454846,-32561.230763090443,-0.07996335354146525,0.2871034041309443,0.0928656762567841
12,-0.12130344350763786,0.3560096819511577,0.15631338560991564,-0.05737985885370631,0.488911556432447,0.478414407454846,-32561.27630410237,0.053142548086596464,0.287011188923897,0.033049313023464276
13,-0.118106157072947,0.3581376905593364,0.15829712729563306,-0.054787695982317995,0.4888749954560011,0.478414407454846,-32561.126261635378,0.030153092113200303,0.28677974832806785,0.02470707590041144
14,-0.09894566796164908,0.36246579858939887,0.16826713634833687,-0.02434816837118423,0.4896317882051072,0.478414407454846,-32560.708814213445,0.04019543358181181,0.28668025266603697,0.716985107034563
15,-0.07900767466181527,0.3677511984673151,0.17556191635402255,0.006268402041553257,0.49144021096264057,0.478414407454846,-32561.49994264282,0.35504214195464423,0.28767723714465165,0.030992462409025125
16,-0.06821074819029117,0.36759301682413714,0.1851713503203704,0.012625499103595148,0.49119160471749734,0.478414407454846,-32560.681719883607,0.11539808259042755,0.28705901356097274,-0.08625084299621098
17,-0.06587959160126569,0.3680783698925327,0.1842175022943078,0.012608117312274902,0.4912482077733411,0.478414407454846,-32560.74844866779,0.04727652128065343,0.2871219554101566,0.3070908722080746
18,-0.059405460239520876,0.36947864670608965,0.19398077903770802,0.022721376785127177,0.4918007705886931,0.478414407454846,-32560.647969710702,0.21147701520834195,0.28719080198062974,0.5529588228576922
19,-0.05911429183342145,0.3722395700076071,0.2016843342518461,0.03049729954940796,0.49246338140387663,0.478414407454846,-32560.725273229877,0.3470710815058024,0.2873922131376744,0.17056505077134332
20,-0.06951528269490563,0.3691568538695871,0.19463808859310283,0.015156434833208752,0.4917718227114021,0.478414407454846,-32560.761583610336,0.1785838994452656,0.28724613486179446,0.10192381325542134
21,-0.0807049531847149,0.3668797586484954,0.18858302660957246,0.006722321579918654,0.4911539983041219,0.478414407454846,-32560.611963996966,0.14871910378673692,0.2870197607791281,0.12532465491024777
22,-0.10613498338534919,0.363411155786186,0.17378627060248972,-0.02457306271218923,0.48952291721067986,0.478414407454846,-32560.45339468729,0.15851200930331696,0.28635617989224177,2.031845837377852
23,-0.1180160866284554,0.36421569389041336,0.19181908893789348,0.00696143608219,0.49678361800022164,0.478414407454846,-32565.86606417992,1.018789516665893,0.2928066715300624,-0.1543020104438252
24,-0.18240135201606492,0.33440680319994764,0.1685828546114402,-0.06170747599383636,0.49444860982074623,0.478414407454846,-32566.924734048265,0.17922645362544087,0.29344026164511744,0.32545104074671255
25,-0.19003911335911478,0.33165593874244326,0.16235641473845686,-0.07450258120505396,0.4938041460518339,0.478414407454846,-32566.906173529816,0.3326953915124989,0.2932493915807555,-0.28933853295861683
26,-0.2380804659038212,0.3235755770838956,0.13732953108360596,-0.1297108570427275,0.49229412047802223,0.478414407454846,-32567.51384158284,0.06416230056370723,0.29346894656310185,0.7051289323233431
27,-0.24610369249847497,0.3214880678410219,0.1427044446836684,-0.12178768845145141,0.49311700248644424,0.478414407454846,-32568.158271130833,0.4477206149931511,0.2941734356633845,-0.20670699095844997
28,-0.23703563680372414,0.3171516990745781,0.14273573386772415,-0.13531208500079794,0.49320527143594006,0.478414407454846,-32568.537390138692,0.03121578622754667,0.2946308920984936,-0.5321046652253781
29,-0.19548669680151415,0.32702591638834877,0.16665427499719643,-0.09417968491203167,0.4958589422974903,0.478414407454846,-32569.042471775825,-0.13785611884203747,0.2957064686450885,-0.1681627470932147
30,-0.2191408896639532,0.32268167730771297,0.140176173926223,-0.1613095601991466,0.49224561579416737,0.478414407454846,-32567.808041758162,-0.046717052752784455,0.2937430117485118,0.2028925628311736
31,-0.29341885122448164,0.31029583334364985,0.11504144208767268,-0.21429515557323622,0.48944040689427004,0.478414407454846,-32567.457327991746,0.11257539555888604,0.2927567929308015,0.5790840982894949
32,-0.3455584403514016,0.30367549475706723,0.09683765000718776,-0.2505469535850182,0.4881020794340023,0.478414407454846,-32567.642610295097,0.27167826603027445,0.2925990940118627,0.47341970966827907
33,-0.34580940220249,0.3032272592827503,0.09343516258544857,-0.25733197364493665,0.4879842927952231,0.478414407454846,-32567.818941999754,0.280182768100529,0.29266852389619513,0.7492663749872959
34,-0.31399143226745335,0.3055970125845131,0.08610416871937507,-0.278334449591187,0.48651074264371286,0.478414407454846,-32566.798938001524,0.45418431084767746,0.29146901188741214,0.26960134046762074
35,-0.3595354628402598,0.29862522753166776,0.07127156620151903,-0.312440355981868,0.48509446493908626,0.478414407454846,-32566.750870176507,0.2984256502718528,0.2911004588999091,-0.1266230258646871
36,-0.3525594897498827,0.298388317069176,0.06949688565670621,-0.3128498536347629,0.4854487382375405,0.478414407454846,-32567.117830443418,0.11588243585098307,0.29153202810355827,0.3588047590714447
37,-0.3266302229398156,0.30274005319444297,0.07161595136454504,-0.30535027114477076,0.48518046720742136,0.478414407454846,-32566.47751913733,0.2831039046817808,0.2909177139013086,-0.14892672812069158
38,-0.39353088954577176,0.29295508405239534,0.04826792783947795,-0.3591600055612224,0.4830912732769294,0.478414407454846,-32566.483737897393,0.06172710778413956,0.290404603898993,-0.5098132530528604
39,-0.3887475604084486,0.2957554273470389,0.04145881007444478,-0.3678520932797896,0.4831349829952202,0.478414407454846,-32566.712451523188,-0.15354030249543937,0.29060434109621375,-0.7720075929201069
40,-0.45449292649661555,0.2888137207774645,0.017379902028259373,-0.43165643938330894,0.481562922280422,0.478414407454846,-32567.253383452597,-0.3240673205470763,0.290592118405656,-0.4648404152058198
41,-0.4928257445910827,0.28255450717328107,0.0008062987108025841,-0.4754048151657021,0.4801033887159789,0.478414407454846,-32567.346604980303,-0.24123586525218735,0.29023037931620344,-0.7581210647209126
42,-0.4445173344529171,0.2912505066489439,0.012377805611103361,-0.4405109900402653,0.4812972817187199,0.478414407454846,-32567.346915010363,-0.4124586882126574,0.2904381847182549,-0.0985233579365345
43,-0.516173436768568,0.2771389442414793,-0.023486037211300624,-0.527641274438089,0.4783825593785993,0.478414407454846,-32567.502295066475,-0.16874598201807536,0.2898274137325834,0.33098758049774857
44,-0.48149484310013213,0.28023596723490696,-0.031439285556076155,-0.5171253523748975,0.4789387686933665,0.478414407454846,-32567.821268846812,0.04447671849930901,0.29037872068425186,-0.21986406845143341
